"X.ip.","X.date.","X.time.","X.zone.","X.cik.","X.accession.","X.extention.","X.code.","X.size.","X.idx.","X.norefer.","X.noagent.","X.find.","X.crawler.","X.browser."
"101.81.133.jja","2017-06-30","00:00:00",0,1608552,"0001047469-17-004337","-index.htm",200,80251,1,0,0,9,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1027281,"0000898430-02-001167","-index.htm",200,2825,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1136894,"0000905148-07-003827","-index.htm",200,3021,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1136894,"0000905148-07-005350","-index.htm",200,2952,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1136894,"0000905148-07-003547","-index.htm",200,3061,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,841535,"0000841535-10-000003","-index.htm",200,2716,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1372211,"0001371385-06-000003","-index.htm",200,2768,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1372211,"0001144204-06-036568","-index.htm",200,2772,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1136894,"0000905148-07-004108","-index.htm",200,2948,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1027281,"0001193125-04-067355","-index.htm",200,2861,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1372211,"0001351930-06-000042","-index.htm",200,2769,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1136894,"0000905148-07-005886","-index.htm",200,2985,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,841535,"0000841535-05-000002","-index.htm",200,2715,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1027281,"0000930413-03-001723","-index.htm",200,2726,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1372211,"0001361234-06-000006","-index.htm",200,2761,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1027281,"0001193125-04-052715","-index.htm",200,2781,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1027281,"0001162318-03-000346","-index.htm",200,2737,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1027281,"0001125282-01-502758","-index.htm",200,2642,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,841535,"0000841535-07-000003","-index.htm",200,2716,1,0,0,10,0,NA
"107.23.85.jfd","2017-06-30","00:00:00",0,1372211,"0001351930-07-000004","-index.htm",200,2756,1,0,0,10,0,NA
